,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
291,0.3818,0.0,0.843,0.157,CNN,The indictment of 12 Russians has stunning implications | By Harry Litman via @CNNOpinion https://t.co/6lbXQQ2RW5 https://t.co/ufwplUdzj8,92
292,0.0258,0.11,0.776,0.114,CNN,"RT @CuomoPrimeTime: .@ChrisCuomo: ""You can't read this indictment... and not face the reality that the United States was hacked, by Russia,…",93
293,0.0258,0.094,0.809,0.098,CNN,The US Food and Drug Administration is advising people to avoid eating fresh crab meat from Venezuela because of po… https://t.co/3PEVpUFyFO,94
294,0.34,0.0,0.893,0.107,CNN,Scarlett Johansson has opted to withdraw from a film in which she was set to play a transgender man after her casti… https://t.co/yd5SVHkmck,95
295,0.2023,0.0,0.917,0.083,CNN,"RT @AC360: .@JeffreyToobin: ""Today is actually a significant moment in American history. We've only had 45 presidents... now we know one of…",96
296,0.5034,0.0,0.847,0.153,CNN,"Seven in 10 registered voters say they're extremely or very interested in the November elections, a record high in… https://t.co/2bpEVzpV1e",97
297,0.5574,0.0,0.806,0.194,CNN,Republicans praise ex-FBI lawyer Lisa Page's testimony one day after the heated Peter Strzok hearing… https://t.co/9CWHzrApH9,98
298,0.0,0.0,1.0,0.0,CNN,"RT @OutFrontCNN: ""It's as if your neighbor came over, robbed your house, burned it down, and then next day you go have a meal with him at t…",99
299,-0.7269,0.225,0.775,0.0,CNN,"RT @AC360: Journalist @carlbernstein on Russian indictments: ""This was an act of war by the Russians. An act of cyber warfare to undermine…",100
300,-0.5267,0.195,0.805,0.0,Fox News,"Charlie Hurt on NATO: ""[President @realDonaldTrump is] not afraid to talk about anything."" @GregGutfeldShow https://t.co/RlVwp6y8Ep",1
301,-0.2732,0.149,0.851,0.0,Fox News,"Officials say vaping co-pilot caused Air China flight to drop 21,000 feet https://t.co/hJLeTKerbL",2
302,0.4939,0.0,0.814,0.186,Fox News,"New York boy, 3, sings national anthem at baseball game in adorable video #ProudAmerican https://t.co/ZGxSeuxAO1",3
303,0.357,0.0,0.858,0.142,Fox News,"Russia not attacking midterms on same 'scale or scope' as in 2016, Nielsen says https://t.co/JjiSD8IHvA https://t.co/XOPfF2mH8Y",4
304,0.4939,0.0,0.789,0.211,Fox News,Six North Carolina nurses show off their  'baby bumps' in adorable photo https://t.co/P8ojwhY5xc,5
305,0.0772,0.14,0.701,0.159,Fox News,Arizona lawmaker apologizes after bragging about speeding to cop during traffic stop https://t.co/kaGtI6s1V5,6
306,-0.4939,0.204,0.694,0.102,Fox News,"Woman admits to killing her father after finding his child pornography collection, including photos of herself https://t.co/1gXPSkV1WM",7
307,0.5574,0.0,0.816,0.184,Fox News,I was Supreme Court nominee Kavanaugh's law clerk -- Let me tell you about the man I know https://t.co/xx1IdPQpTh,8
308,0.0,0.0,1.0,0.0,Fox News,"'Organized Cruelty’: Clinton Blasts Trump Administration for 'Trying to Rip the Heart Out of America' 
 https://t.co/18eXz2MkhV",9
309,0.0,0.0,1.0,0.0,Fox News,Rep. DeSantis Blasts Strzok After House Hearing: 'Why Is He Still Getting a Paycheck?' https://t.co/OfPs7CraKb,10
310,0.6705,0.0,0.744,0.256,Fox News,".@GovMikeHuckabee on NATO: ""Thank goodness that [@POTUS] doesn't just roll over and let these smaller nations push… https://t.co/BP8oeduxjR",11
311,0.5267,0.0,0.848,0.152,Fox News,".@DarrellIssa on Strzok hearing: ""The only justice we're gonna get is from the American people who hearing Peter St… https://t.co/OEqaWxt1MM",12
312,0.5423,0.0,0.774,0.226,Fox News,Judge has second thoughts hours after praising Trump administration for family reunifications https://t.co/OLfCTYNaCo,13
313,-0.4939,0.204,0.694,0.102,Fox News,"Woman admits to killing her father after finding his child pornography collection, including photos of herself https://t.co/7VJLlNITgo",14
314,-0.3867,0.143,0.79,0.067,Fox News,"TOMORROW: Don't miss ""Life, Liberty, &amp; Levin"" with @marklevinshow - Tune in at 10p ET on Fox News Channel! https://t.co/0gPYq3L8yX",15
315,0.3612,0.0,0.828,0.172,Fox News,Richmond Airport apologizes after official reportedly told mom breastfeeding was 'indecent exposure' https://t.co/Xtxn2hdvD2,16
316,0.0,0.0,1.0,0.0,Fox News,Fireworks illuminate the Eiffel Tower in Paris during Bastille Day celebrations on Saturday. Bastille Day marks the… https://t.co/jrdfd9MVyR,17
317,0.128,0.0,0.919,0.081,Fox News,MONDAY: Chris Wallace sits down for an exclusive interview with Russian President Vladimir Putin following the summ… https://t.co/QMUwJiVkk4,18
318,0.0772,0.0,0.885,0.115,Fox News,".@DiamondandSilk on Peter Strzok: ""We want answers from him."" @WattersWorld https://t.co/OKFrRUkd8S",19
319,0.281,0.086,0.771,0.144,Fox News,‘Pretty plane girl’ slams passenger for sharing ‘false’ viral ‘Plane bae’ story to Twitter without consent https://t.co/TGDFt4mlpN,20
320,0.0,0.0,1.0,0.0,Fox News,.@SecPompeo: Trump-Putin summit should proceed https://t.co/DeAgnC4mCK,21
321,0.0,0.0,1.0,0.0,Fox News,An MV-22B Osprey tiltrotor aircraft sits on display through a firework show during the Marine Corps Air Station Fut… https://t.co/bqblXorf9U,22
322,0.0,0.0,1.0,0.0,Fox News,".@KimStrassel on Strzok hearing: ""This is the @FBI continuing to obstruct congressional oversight."" @WattersWorld https://t.co/2xUTBtWyIb",23
323,0.0,0.0,1.0,0.0,Fox News,OPINION: My baby nephew was dying and his mother's response was unforgettable https://t.co/RfNT4KHBmx,24
324,-0.5994,0.26,0.651,0.089,Fox News,"Jaguar escapes captivity in New Orleans, killing 6 other animals before being sedated https://t.co/Vf4GSketys",25
325,0.357,0.0,0.85,0.15,Fox News,"Russia not attacking midterms on same 'scale or scope' as in 2016, Nielsen says https://t.co/yE9yols4EG",26
326,0.25,0.129,0.693,0.178,Fox News,Senate Democrats are gearing up to fight Brett Kavanaugh's Supreme Court nomination; Lauren Green reports.… https://t.co/BLjXm9X3Dh,27
327,0.0,0.0,1.0,0.0,Fox News,".@SenWarren on Brett Kavanaugh: ""Trump didn't name someone who would stand up for working people the way he promise… https://t.co/5rh5J9jWjV",28
328,0.1779,0.096,0.776,0.128,Fox News,"Sen. @LindseyGrahamSC: ""I have a lot of faith in President Trump. Bush misread Putin. Putin ran over Obama because… https://t.co/6V4yiSfgqQ",29
329,0.3382,0.11,0.685,0.205,Fox News,"Don’t miss a special @FoxandFriends live from Helsinki, Sunday at 6a ET! https://t.co/UGzyDSS1zV",30
330,0.4019,0.0,0.847,0.153,Fox News,".@GillianHTurner: ""In a new 29-page indictment the DOJ released [Friday] the Russia special counsel draws a direct… https://t.co/DRkpZcFe2h",31
331,0.0,0.0,1.0,0.0,Fox News,President @realDonaldTrump and Russian President Vladimir Putin will meet Monday in Helsinki; @kevincorke reports.… https://t.co/sQPQXqtx3g,32
332,-0.6369,0.302,0.698,0.0,Fox News,Florida man warns about saltwater poisoning after dog dies days after beach trip https://t.co/BZqLVmwPFq,33
